index,Record,Vectors
0,crisis abates russia question remain putin authority yevgeny prigozhin head wagner mercenary group led uprising russian military leadership agreed end hostility head belarus resident southwestern russian city cheered wagner force left
1,prigozhin putin beast turned apparently reversing course yevgeny prigozhin founder paramilitary wagner group driven fury mismanaged war ukraine turned creator apparently reversing course russian invasion ukraine prigozhin yevgeny v putin vladimir v wagner group russia ukraine
2,guatemala election know election central american nation marked exclusion top candidate call crack violent election politics government united state international relation immigration emigration civil right liberty project democracy giammattei alejandro mulet edmond torres sandra guatemala
3,arnon milchan testifies benjamin netanyahu corruption trial arnon milchan movie mogul billionaire spy old friend prime minister benjamin netanyahu israel key witness gave netanyahus gift said sometimes request politics government conflict interest movie espionage intelligence service gift public official bribery kickback milchan arnon netanyahu benjamin israel
4,taiwan face metoo wave set netflix hit torrent sexual harassment accusation prompted question state woman right island democracy long one asia progressive taiwan tsai democratic progressive party taiwan sexual harassment metoo movement politics government election discrimination woman girl woman right
5,greek youth shaped debt crisis plan vote stability many child greece traumatic year economic collapse opted pragmatism radicalism say back conservative election youth politics government european sovereign debt crisis poll public opinion wage salary income economic condition trend recession depression voting voter new democracy greece european union mitsotakis kyriakos tsipras alexis
6,mutiny russia shed light putin hold power armed standoff road moscow brief represented dramatic struggle power russia decade united state international relation russian invasion ukraine defense military force russia ukraine biden joseph r jr prigozhin yevgeny v putin vladimir v
7,rebel wagner force threatening moscow abruptly stand mercenary group seized russian city center moscow military operation ukraine posing grave threat president vladimir putin government russia putin vladimir v prigozhin yevgeny v wagner group russian invasion ukraine mercenary private military contractor defense military force politics government belarus lukashenko aleksandr g international relation
8,china extreme flood heat ravage farm kill animal china leader made national priority ensure country feed large population weather shock disrupted wheat harvest threatened pig fish food international relation shortage wheat politics government agriculture department xi jinping china henan province china
9,saudi arabia want tourist expect fluid new age conservative islamic kingdom evangelicals become enthusiastic visitor archaeology anthropology christian christianity mohammed bin salman moses prophet saudi arabia travel vacation
10,kwon crypto fugitive upended politics montenegro day election montenegro letter kwon fugitive founder luna digital coin claimed crypto friend provided campaign funding leading candidate election politics government virtual currency kwon montenegro international relation fraud swindling europe movement milojko spajic djukanovic milo
